Zubringerlift;1877;6236;Alpbach;;;;2005;nein;;Schlepplift mit niedriger Seilführung;ausschließlich;;2,00;1;nein;kein;keine;60;1.050;1.057;7;400;3
Hornlift 2000;1652;6236;Alpbach;;;;1999;nein;;4er Sessellift fix geklemmt;keine;;10,00;;nein;kein;Förderband;1.085;1.632;2.025;393;1.780;700
Brandegglift;1693;6236;Alpbach;;;;2000;nein;;4er Sessellift fix geklemmt;keine;;10,00;;nein;kein;Förderband;509;1.705;1.902;197;1.400;276
Kohlgrubenlift;1707;6236;Alpbach;;;;2002;nein;;4er Sessellift fix geklemmt;keine;;10,00;;nein;kein;Förderband;512;1.730;1.880;150;1.583;237
Gmahbahn;781;6236;Alpbach;;;;1986;nein;;3er Sessellift fix geklemmt;keine;;9,00;3;nein;kein;keine;765;1.610;1.880;270;1.963;530
Pöglbahn;1876;6236;Alpbach;;;;2005;nein;;8er Einseilumlaufbahn;teilweise;;12,00;8;nein;Kabine;keine;2.370;1.011;1.885;874;1.979;1.730
Wiedersbergerhorn I;779;6236;Alpbach;;;;1988;nein;;6er Einseilumlaufbahn;teilweise;;12,00;6;nein;Kabine;keine;1.520;820;1.350;530;1.600;848
Wiedersbergerhorn II;780;6236;Alpbach;;;;1988;nein;;6er Einseilumlaufbahn;keine;;12,00;6;nein;Kabine;keine;1.421;1.350;1.845;495;1.600;792
Pfaringlift;885;6320;Angerberg;Dorf;;;;nein;;Schlepplift mit niedriger Seilführung;keine;;2,00;1;nein;kein;keine;160;;;20;600;12
Lana;1116;9912;Anras;Oberried;;;1979;nein;;Schlepplift;keine;;6,00;2;nein;kein;keine;360;;;100;360;36
Plattenrainlift;291;6471;Arzl im Pitztal;;;;1969;nein;;Schlepplift;keine;;6,00;2;nein;kein;keine;854;1.500;1.768;268;995;267
Galtwiesenlift;292;6471;Arzl im Pitztal;;;;1969;nein;;Schlepplift;keine;;6,00;2;nein;kein;keine;425;1.100;1.183;83;921;76
Kindergartenlift Marend;4855;6274;Aschau im Zillertal;;;;1993;nein;;Schlepplift mit niedriger Seilführung;;;;;nein;;;80;1.668;1.690;22;540;12
Zirbenlift II;4857;6274;Aschau im Zillertal;;;;2008;nein;;Schlepplift;;;;;nein;;;515;;;110;700;77
Öfeler;1303;6274;Aschau im Zillertal;;;;1992;nein;;2er Sessellift fix geklemmt;keine;;8,00;2;nein;kein;keine;889;1.936;2.150;214;1.440;308
Krössbichl;1302;6274;Aschau im Zillertal;;;;1989;nein;;4er Sessellift kuppelbar;keine;;10,00;4;nein;kein;keine;1.685;1.636;2.155;519;2.400;1.246
Schnee-Express;1911;6274;Aschau im Zillertal;;;;2006;nein;;8er Sessellift kuppelbar;keine;;14,00;;nein;Bubble;keine;1.633;1.619;2.146;527;4.000;2.108
Almbodenlift aufg.;1307;6274;Aschau im Zillertal;;;;1978;ja;2000;Schlepplift;keine;;6,00;2;nein;kein;keine;160;2.100;2.150;50;970;48
Aufenfeldlift;1311;6274;Aschau im Zillertal;;;;;nein;;Schlepplift;keine;;6,00;2;nein;kein;keine;207;;;31;414;13
Weiherlift aufg.;1312;6274;Aschau im Zillertal;;;;;ja;1995;Schlepplift;keine;;6,00;2;nein;kein;keine;226;;;48;480;23
Zirbenlift;1308;6274;Aschau im Zillertal;;;;1986;nein;;Schlepplift;keine;;6,00;2;nein;kein;keine;486;1.690;1.829;139;1.200;167
Panorama 1;1305;6274;Aschau im Zillertal;;;;1983;nein;;Schlepplift;keine;;6,00;2;nein;kein;keine;874;1.941;2.153;212;1.440;305
Marendalm 2;1716;6274;Aschau im Zillertal;;;;2000;nein;;Tellerschlepplift;teilweise;;4,00;1;nein;kein;keine;233;1.700;1.723;23;502;12
Panorama 2;1720;6274;Aschau im Zillertal;;;;1998;nein;;Schlepplift;keine;;6,00;2;nein;kein;keine;874;1.941;2.153;212;1.312;278
Telecorde 2;1718;6274;Aschau im Zillertal;;;;2002;nein;;Schlepplift mit niedriger Seilführung;keine;;2,00;1;nein;kein;keine;210;1.677;1.696;19;1.500;29
Telecorde 3;1719;6274;Aschau im Zillertal;;;;2002;nein;;Schlepplift mit niedriger Seilführung;keine;;2,00;1;nein;kein;keine;190;1.675;1.691;16;1.500;24
Marendalm 1;1310;6274;Aschau im Zillertal;;;;1998;nein;;Schlepplift mit niedriger Seilführung;keine;;2,00;1;nein;kein;keine;594;1.682;1.728;46;1.440;66
Hochplateau aufg.;1304;6274;Aschau im Zillertal;;;;1978;ja;2001;2er Sessellift fix geklemmt;keine;;8,00;2;nein;kein;keine;2.165;1.750;2.300;550;1.400;770
Sonnenjet;1713;6274;Aschau im Zillertal;;;;2001;nein;;6er Sessellift kuppelbar;teilweise;;12,00;;nein;Bubble;Förderband;2.044;1.680;2.197;517;2.800;1.448
Burglift;1118;9911;Assling;;;;;nein;;Schlepplift mit niedriger Seilführung;keine;;2,00;1;nein;kein;keine;162;;;47;336;16
Compedal;1117;9911;Assling;;;;1981;nein;;Schlepplift;keine;;6,00;2;nein;kein;keine;1.200;;;362;908;329
Schischullift;583;6370;Aurach bei Kitzbühel;;;;;ja;2003;Schlepplift mit niedriger Seilführung;keine;;2,00;1;nein;kein;keine;130;;;8;600;5
Thurntaler SL;1119;9931;Außervillgraten;;;;1971;nein;;Schlepplift;keine;;6,00;2;nein;kein;keine;1.962;1.950;2.384;434;1.000;434
Ausservillgraten 4er;1650;9931;Außervillgraten;;;;1999;nein;;4er Sessellift kuppelbar;keine;;10,00;4;nein;kein;keine;2.007;1.490;2.207;717;2.400;1.721
Hoadlbahn I aufg.;5126;6094;Axams;;;;1963;ja;;2er Sessellift fix geklemmt;teilweise;;;;nein;;;1.356;1.579;2.060;481;875;421
Pleisen;422;6094;Axams;;;;1987;nein;;2er Sessellift fix geklemmt;keine;;8,00;2;nein;kein;keine;1.047;1.810;2.212;401;1.435;575
Birgitzköpfl;423;6094;Axams;;;;1982;nein;;2er Sessellift fix geklemmt;keine;;8,00;2;nein;kein;keine;1.080;1.579;2.043;464;1.447;671
Karleiten;1924;6094;Axams;;;;2005;nein;;4er Sessellift fix geklemmt;keine;;10,00;4;nein;kein;keine;1.050;1.881;2.150;269;1.500;404
Schönbodenbahn;420;6094;Axams;;;;1991;nein;;4er Sessellift kuppelbar;keine;;10,00;;nein;Bubble;keine;1.680;1.561;2.118;557;1.900;1.058
Götzner Grube;425;6094;Axams;;;;1966;nein;;Schlepplift;keine;;6,00;2;nein;kein;keine;350;1.936;2.043;107;816;87
Karleiten aufg.;426;6094;Axams;;;;1969;ja;2005;Schlepplift;keine;;6,00;2;nein;kein;keine;966;1.881;2.130;252;1.041;262
Kaserwald I;427;6094;Axams;;;;1963;nein;;Schlepplift;keine;;6,00;2;nein;kein;keine;247;1.585;1.640;58;1.004;58
Kaserwald II;428;6094;Axams;;;;1978;nein;;Schlepplift;keine;;6,00;2;nein;kein;keine;247;1.585;1.640;58;1.004;58
Sonnenlift;429;6094;Axams;;;;1965;nein;;Schlepplift;keine;;6,00;2;nein;kein;keine;502;910;1.000;91;900;82
"Kleinschlepplift ""Olympicl""";4858;6094;Axams;;;;;nein;;Schlepplift mit niedriger Seilführung;;;;;nein;;;35;;;10;50;1
Hoadlbahn I;421;6094;Axams;;;;1963;nein;;2er Sessellift fix geklemmt;teilweise;;8,00;2;nein;kein;keine;1.356;1.579;2.060;481;875;421
Hoadlbahn II;424;6094;Axams;;;;1991;nein;;2er Sessellift fix geklemmt;keine;;8,00;2;nein;kein;keine;996;1.978;2.340;363;1.320;479
Olympiabahn;419;6094;Axams;;;;1975;nein;;Standseilbahn;keine;;10,00;;nein;Kabine;keine;2.105;1.579;2.334;755;1.200;906
Jöchelspitze;1172;6653;Bach;;;;1979;nein;;2er Sessellift fix geklemmt;keine;;8,00;2;nein;kein;keine;1.692;1.216;1.768;552;909;502
Benglerwaldlift;1557;6653;Bach;;;;;nein;;Schlepplift mit niedriger Seilführung;keine;;2,00;1;nein;kein;keine;100;1.215;1.230;15;600;9
Litzl-Lift;796;6323;Bad Häring;;;;;nein;;Schlepplift mit niedriger Seilführung;keine;;2,00;1;nein;kein;keine;237;;;35;360;13
Lindbühel aufg.;795;6323;Bad Häring;;;;;ja;;Schlepplift mit niedriger Seilführung;keine;;2,00;1;nein;kein;keine;130;;;30;480;14
Panoramabahn Rastkopf;5130;6622;Berwang;;;;1995;nein;;Doppelseilumlaufbahn;;;;;nein;;;2.060;1.320;1.743;423;1.436;607
Rinnerlift;1181;6622;Berwang;;;;;nein;;Schlepplift;keine;;6,00;2;nein;kein;keine;314;1.270;1.363;93;637;59
Rinnen aufg.;4861;6622;Berwang;;;;;ja;;;;;;;nein;;;263;;;73;800;
Thanellerkarlift aufg.;4862;6622;Berwang;;;;1969;nein;;Schlepplift;;;;;nein;kein;keine;1.125;;;251;1.440;
Thanellerkarlift Schlepplift;1177;6622;Berwang;;;;1969;nein;;Schlepplift;keine;;6,00;2;nein;kein;keine;550;1.025;1.165;140;1.000;140
Biliglift;1179;6622;Berwang;;;;1992;nein;;Schlepplift;keine;;6,00;2;nein;kein;keine;397;1.330;1.390;60;1.440;86
Mooslift;1178;6622;Berwang;;;;1975;nein;;Schlepplift;keine;;6,00;2;nein;kein;keine;222;1.320;1.365;45;800;36
Hochbichllift aufg.;1174;6622;Berwang;;;;1957;ja;2008;1er Sessellift fix geklemmt;keine;;7,00;1;nein;kein;keine;266;1.336;1.392;56;450;25
Egghof Sun Jet;5834;6622;Berwang;;;;2009;nein;;6er Sessellift kuppelbar;;;6,20;6;nein;Bubble;;720;1.340;1.462;122;2.295;280
6/6CGD Almkopfbahn;4656;6622;Berwang;;;;2007;nein;;Kombinationsbahn;teilweise;;6,40;8;nein;;;1.663;1.049;1.620;571;2.047;1.169
Bärenbad 1;4860;6622;Berwang;;;;2003;nein;;Schlepplift;;;;;nein;;;185;1.363;1.390;27;1.200;32
Berwanger Sonnalmbahn;5129;6622;Berwang;Berwang;120;;1993;nein;;4er Sessellift kuppelbar;;;;;nein;;;1.197;1.300;1.610;310;2.400;744
Bärenbad 2;1912;6622;Berwang;;;;2009;nein;;Tellerschlepplift;keine;;6,00;2;nein;kein;keine;230;1.400;1.450;50;700;35
Muldenlift aufg.;1175;6622;Berwang;;;;1966;ja;;1er Sessellift fix geklemmt;keine;;7,00;1;nein;kein;keine;409;1.310;1.408;98;900;88
Egghoflift aufg.;1624;6622;Berwang;;;;1994;ja;2009;Tellerschlepplift;keine;;4,00;1;nein;kein;keine;135;1.395;1.419;24;720;17
Höniglift aufg.;1176;6622;Berwang;;;;;ja;;Schlepplift;keine;;6,00;2;nein;kein;keine;542;1.320;1.525;205;728;149
Rastkopflift aufg.;1180;6622;Berwang;;;;;ja;1994;1er Sessellift fix geklemmt;keine;;7,00;1;ja;kein;keine;786;;;318;450;143
Übungslift Rinnen aufg.;1182;6622;Berwang;;;;;ja;;Schlepplift mit niedriger Seilführung;keine;;2,00;1;nein;kein;keine;58;;;5;684;3
Babylift Gschwendt aufg.;1183;6622;Berwang;;;;;ja;;Schlepplift mit niedriger Seilführung;keine;;2,00;1;nein;kein;keine;96;;;11;714;8
Rastkopfbahn aufg.;1524;6622;Berwang;;;;1995;ja;;2er Sessellift fix geklemmt;keine;;8,00;;nein;kein;Förderband;1.018;1.320;1.743;423;1.436;607
Biberwier II aufg.;5131;6633;Biberwier;;;;;ja;;Doppelseilumlaufbahn;;;;;nein;;;1.563;;;500;1.200;
Jochlift;1189;6633;Biberwier;;;;1972;nein;;Schlepplift;keine;;6,00;2;nein;kein;keine;729;1.673;1.880;207;1.102;228
Gamsjet;1873;6633;Biberwier;;;;2005;nein;;6er Sessellift kuppelbar;keine;;12,00;;nein;Bubble;keine;1.176;1.705;2.060;355;2.781;987
Marienbergbahn;1698;6633;Biberwier;;;;2000;nein;;6er Sessellift kuppelbar;teilweise;;12,00;6;nein;kein;keine;930;1.131;1.278;147;2.377;349
Marienberg I aufg.;1187;6633;Biberwier;;;;1976;ja;2000;Schlepplift;keine;;6,00;2;nein;kein;keine;799;1.020;1.180;160;1.314;210
Schöner Hang;1188;6633;Biberwier;;;;2000;nein;;Schlepplift;keine;;6,00;2;nein;kein;keine;743;1.180;1.380;200;1.305;261
Marienbergbahn II;1185;6633;Biberwier;;;;1988;nein;;2er Sessellift fix geklemmt;teilweise;;8,00;;nein;kein;Förderband;1.563;1.180;1.676;496;1.200;595
Gamsbödele aufg.;1184;6633;Biberwier;;;;1986;ja;2005;2er Sessellift fix geklemmt;keine;;8,00;2;nein;kein;keine;1.170;1.712;2.068;356;1.440;513
Biberwier II aufg.;1186;6633;Biberwier;;;;1982;ja;2000;1er Sessellift fix geklemmt;teilweise;;7,00;1;nein;kein;keine;968;1.020;1.180;160;970;155
Minilift aufg.;1190;6633;Biberwier;;;;1975;ja;2005;Schlepplift mit niedriger Seilführung;keine;;2,00;1;nein;kein;keine;240;1.020;1.050;30;720;22
Sonnbichllift;1192;6621;Bichlbach;;;;1978;nein;;Schlepplift;keine;;6,00;2;nein;kein;keine;206;1.075;1.127;52;1.218;63
Mähberglift aufg.;1193;6621;Bichlbach;;;;;ja;1997;Schlepplift;keine;;6,00;2;nein;kein;keine;442;1.088;1.255;167;682;114
Brändlelift aufg.;1194;6621;Bichlbach;;;;;ja;1995;Schlepplift;keine;;6,00;2;nein;kein;keine;450;1.130;1.208;78;365;28
Almkopfbahn aufg.;1191;6621;Bichlbach;;;;;ja;2007;2er Sessellift fix geklemmt;keine;;8,00;;nein;kein;Förderband;1.674;1.048;1.622;574;1.000;574
Birgitz;4865;6092;Birgitz;Dorfplatz;1;;;nein;;Schlepplift;;;;;nein;;;520;;;59;960;
Czajka;430;6091;Birgitz;;;;;nein;;Schlepplift;keine;;6,00;2;nein;kein;keine;520;;;59;960;57
Grubenlift;1313;6290;Brandberg;;;;;nein;;Schlepplift mit niedriger Seilführung;keine;;2,00;1;nein;kein;keine;98;;;28;720;20
Kienleitenlift;798;6234;Brandenberg;;;;;nein;;Schlepplift;keine;;6,00;2;nein;kein;keine;305;;;62;551;34
Aschau;4866;6234;Brandenberg;;;;;nein;;Schlepplift mit niedriger Seilführung;;;;;nein;;;80;;;8;400;
Brandenberg;797;6234;Brandenberg;;;;;nein;;Schlepplift;keine;;6,00;2;nein;kein;keine;139;;;42;400;17
Taurerlift aufg.;799;6252;Breitenbach am Inn;;;;;ja;;Schlepplift mit niedriger Seilführung;keine;;2,00;1;nein;kein;keine;169;;;25;487;12
Sintnbichl;1195;6600;Breitenwang;;;;1965;nein;;Schlepplift mit niedriger Seilführung;keine;;2,00;1;nein;kein;keine;195;870;906;36;340;12
